bit,coefficient
496,-0.03416817393612458
497,-0.6833569614524845
498,-1.1707334037193065
499,-0.13129389804425473
500,0.27722557094938916
501,-0.9541764073966124
502,0.2092075227057329
503,-0.2330781396607738
504,-0.4750851334795071
505,0.27001579503517803
506,-0.5696985308124489
507,-0.6211427168798279
508,0.34976178273086855
509,0.7300889081315931
510,0.5307694007990871
511,-0.2299661959222035
512,-0.24014890213974
513,0.2840292085228702
514,-0.7983110607050692
515,0.16922422235838214
516,0.5804186228616507
517,0.20905225899993302
518,-0.9153608223879623
519,-0.38074104279643123
520,-0.7786077417524824
521,-0.7636000676642617
522,-0.11958038155449666
523,0.6299102449469527
524,0.07508214257335616
525,-0.6376168206129206
526,-0.41652531733104164
527,0.28337644102810416
528,-0.001947132599777402
529,0.18861848208934037
530,0.0026682021601736466
531,0.5044146773655801
532,-0.04548158051923402
533,-0.004759889709543086
534,-0.8637646495813226
535,-0.8724700413736995
536,0.14828355706901142
537,-0.6741260410228964
538,-0.1228764970484756
539,-0.12108857207824691
540,0.4120803138093606
541,-0.29091747254361405
542,-0.2882969125598067
543,0.6119106084821031
544,-0.1019685524297286
545,-0.10679539769962021
546,0.09353927827954152
547,0.6297285549237172
548,0.26929185569249764
549,0.20485541340197935
550,-0.35208572877200334
551,0.8946431812868243
552,-0.37867202723569643
553,0.04204789498035773
554,-0.4188349101687948
555,-0.13333607716504017
556,-0.5884689668240377
557,-0.9528991230812054
558,-0.3584423335131083
559,0.7008152656337502
560,0.2933682945219528
561,-0.6789287432280149
562,0.1427190585501739
563,-0.2750422740026734
564,-0.840201687700598
565,-0.953021979104385
566,0.1972758852183819
567,-0.014106408510184062
568,0.5290600468696962
569,0.47520597825451194
570,-0.25804776680457836
571,-0.650107397706905
572,-1.5959455978986625e-16
573,0.7663232145211415
574,0.02452569190613159
575,-0.3043565876368413
576,-0.2467152312184991
577,0.1098037902978908
578,-0.9940179555766847
579,-0.4736187653127029
580,-0.5935404616523138
581,-0.8669854613355843
582,-0.7262567363346124
583,-0.31064342131766937
584,-0.0018764315572827456
585,-0.3215946494682713
586,0.08319820701614516
587,-0.9373270884275865
588,-0.32530863868833954
589,0.18503823425883859
590,0.6109958581712277
591,-0.40000971502861404
592,0.33830471077168245
593,0.48687672619797057
594,0.26806106920474126
595,0.6930834909074316
596,0.694907224438682
597,-1.0800049186780143
598,0.17300354498775794
599,-1.1192944392466762
600,-0.24152800326841478
601,0.11525622454521746
602,1.08072667962089
603,0.17931233497541907
604,-4.215854530795985e-05
605,-0.6029582734370289
606,-0.11360529724159937
607,-0.14059787886706368
608,-0.4024250858936173
609,-0.16958340066100713
610,-0.5024235745480453
611,-1.142009903710043
612,0.1643539561700386
613,-0.44965692768914417
614,0.22265290142722097
615,-0.11526831662451546
616,-0.3943229060075419
617,0.03303624935523926
618,-0.14588165277220203
619,0.05354725354466624
620,0.007383416149546724
621,-0.11724471635591378
622,-0.09727990882548704
623,-0.37381688263295487
624,-0.15939373093600145
625,0.023700262492924763
626,0.724466145404096
627,-0.10403603212336575
628,-0.6809202280801963
629,-0.4023115844089583
630,-0.7189786455151256
631,-0.23532600988839084
632,0.02080891403500213
633,-0.12592626651819028
634,-0.14475479609172895
635,0.42210761677508407
636,-0.5396266116090964
637,-0.1777200158840168
638,0.2132462353277817
639,0.81695903002239
640,-0.2958553699482291
641,-0.1684922644143259
642,-0.39477341201380495
643,-0.01655775176387987
644,-0.83189266009314
645,-0.331619914085826
646,0.010768816743055937
647,0.04875121302298279
648,-0.2669039068591766
649,0.29282335707223606
650,0.384865775439831
651,0.13509574942813313
652,0.20025792002056736
653,0.7643936658559853
654,-0.35882469622226915
655,0.21766243237877575
656,0.5887447751729382
657,-0.767196196796718
658,0.3133420979202268
659,-0.8216801614944864
660,-0.10549948549259061
661,-0.33632894260557405
662,-0.3651704389366818
663,0.255019542378164
664,0.49825592654324974
665,-0.0900399831231745
666,-0.08107529215243336
667,-0.05779182734832182
668,0.05723904312998442
669,-0.6940407415694544
670,0.5128926301096194
671,-0.22375823411709653
672,-0.9565160342406924
673,0.5457640417857189
674,0.08246064726630206
675,0.04723675304758958
676,0.6988608042709917
677,-0.024843588458956956
678,-0.06856393253367715
679,-0.30420234313050337
680,-0.18809606647720112
681,0.4811399910324538
682,0.14903071472920615
683,-0.3879304035996389
684,0.4011225314244404
685,-0.9914666730557488
686,-0.015670249886765047
687,-0.1478109672347675
688,-0.46952275130364535
689,-0.6222401721704143
690,0.17077986706274195
691,0.09954857477419987
692,0.17036917307309435
693,-0.29332660580157127
694,0.08107256420687385
695,0.19093634073892307
696,-0.3069724860055653
697,-0.6300098461877466
698,0.09240344132173549
699,-0.2181054921508277
700,-0.5232188230157182
701,0.45315361792906195
702,0.32961230603024466
703,0.09566316313642764
704,-0.3582692027968642
705,0.14192620960328195
706,-0.29949386234237607
707,0.3519062937369053
708,-0.616016750162594
709,-0.14494176399112552
710,0.6970415422924713
711,-0.15150308287058742
712,0.1604271130440035
713,-0.19214740535776448
714,0.3026178048879636
715,0.17473122086024784
716,-0.014348344657445028
717,0.3128197988871724
718,0.02239890396089743
719,-0.3805282503527109
720,-0.1288462494595496
721,-0.29909710535617584
722,-0.6087976915675029
723,-0.5270721875534877
724,0.5476875234883807
725,-0.21967711742244336
726,-0.33604817744567095
727,0.13504228378713273
728,-0.17414174477689234
729,-0.1964412135410618
730,0.9721059479951337
731,0.01000892682444314
732,-0.20510761314733506
733,-0.6416543082467484
734,0.25933327585279503
735,0.14466565991298988
736,-0.47854616558464824
737,-0.22815642955758966
738,0.24704718123570607
739,-0.22542534952414273
740,0.745067505326806
741,0.8080554999082827
742,-0.024600771547496486
743,0.040770174106857446
744,-0.23167359170032623
745,-0.21389929812693093
746,-0.8474715944418807
747,-0.02689131524177043
748,-0.329702070270258
749,-0.4199410205045516
750,0.19422844282559348
751,-0.20851093405517598
752,-0.5846170892118571
753,-0.6941169909667491
754,0.5720342164469395
755,-0.4313798175324828
756,0.49117323498630705
757,0.9978236162048434
758,0.42538483340381206
759,-0.3832046809802983
760,0.1980260011578916
761,0.4298362932708451
762,0.17908732482690765
763,0.03702422833600941
764,0.18327143708324017
765,0.3737850053000729
766,-0.046143515763515705
767,-0.5029439627231007
768,-0.3265073830061362
769,-0.7704470906988176
770,-0.27347892196545887
771,0.1404819067873672
772,0.14963892730306821
773,0.6058091074970569
774,-0.8077057063974916
775,0.20081929021577472
776,-0.43300561714290287
777,0.19915144615881247
778,-0.16099909091581133
779,-1.0021053661304677
780,0.0961901324367332
781,0.2213198804279525
782,0.46930587612827884
783,0.08526797589888296
784,0.24673940624520313
785,0.006628551683238469
786,0.004113518313970305
787,0.14564612695461343
788,-0.6856652002611789
789,0.11700854911328176
790,0.3557470318126369
791,0.6093149085706995
792,-0.5018462132559752
793,0.7810879659650167
794,-0.3383778176703325
795,-0.06775532214329225
796,0.2712921849711122
797,0.6016808467381844
798,0.21680871195217072
799,-0.4084249638421381
800,-1.1265854118201617
801,0.42254095807244024
802,0.06646743780509638
803,-0.5710347216353623
804,-0.4987273158841424
805,-0.4511182834355346
806,0.13653447364113808
807,0.9515183699477608
808,-1.0310097773454163
809,0.7336843660328112
810,-0.4320748372528681
811,-0.18572801160829697
812,1.1716396896874188
813,-0.4652929719850099
814,-0.8256664826638318
815,-0.27528447974253417
816,-0.006155737070133921
817,0.5214498022067431
818,1.2200418933572013
819,-0.2526847766439323
820,-0.03876507332732865
821,0.4676162932131305
822,-1.04988178915713
823,-0.7502773243564672
824,0.3027732430729487
825,-0.27641311678261776
826,0.985439434023111
827,-0.2848363796201344
828,0.09814450134808847
829,0.11540635864182812
830,1.0305893549569687
831,0.22966567905702173
832,-0.3267113745314381
833,-0.18085202142087625
834,-0.31344964763125005
835,-0.6775067436411631
836,-0.28693177639491196
837,-0.08408421813449547
838,0.11215548381226986
839,-0.07392980690190554
840,0.560515964974535
841,0.020144556307149765
842,-0.2819741436005174
843,-0.036690645050565796
